链接,图片链接,标题,价格,人数,评论人数,景点,供应商,时间,出发地/旅行团/著名景点,标签
http://www.tuniu.com/tour/210140870,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<法国意大利瑞士12日游>自营全含，意深5晚，近4000人出游，铁力士（部分），卢浮宫，凡尔赛，双游船，五渔村，巴黎自由活动，MALL，2人WIFI，拒签全退,￥11999,97%,3659,1033人,",巴黎歌剧院，琉森（卢塞恩），尼姆古罗马竞技场，佛罗伦萨市政厅，琉森湖，佛罗伦萨市政厅广场，威尼斯大运河",牛人专线,国庆，9月25日，10月3日，10月13日，11月3日，11月17日，12月1日，1月12日，1月30日，2月10日，3月6日，3月20日,",北京出发| 北京成团| 三国经典，意大利5晚深度，金色山口列车，五渔村，卢浮宫，凡尔赛宫，贡多...",可异地按指纹
http://www.tuniu.com/tour/210389689,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[春节]<西班牙葡萄牙11-12日游>一价全含，一路wifi，拒签全退，罗卡角，购物村，品蛋挞，尝鲜Tapas，马德里皇宫，圣家族教堂，阿尔罕布拉宫,￥11889,91%,117,26人,",贝伦塔，伯纳乌球场，托莱多大教堂，巴塞罗那码头，马约尔广场，圣女广场，巴特罗之家，龙达新桥，兰布拉大街，格拉纳达大教堂",泛美旅游,元旦，9月9日，9月16日，9月26日，11月2日，11月26日，1月2日，1月23日，2月1日，2月3日，2月6日,",广州出发| 北京成团| 魔幻高迪 足球魅力 伊比利亚",无自费
http://www.tuniu.com/tour/210451276,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯-莫斯科+圣彼得堡9日游>东航直飞 金环谢镇 冬宫博物馆 夏宫花园 特色俄餐 红场 全程佩戴讲解器 可配全国联运,￥5867,90%,151,27人,",彼得保罗要塞，夏宫，红场，青铜骑士，滴血大教堂，凯旋门，冬宫，莫斯科河，涅瓦大街，列宁山",奇幻九州,11月7日,",广州出发| 上海成团| 上海出发 冬宫入内 夏宫入内 金环谢镇 自助早餐 世界杯 ",有自由活动
http://www.tuniu.com/tour/210501147,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<法国+瑞士+意大利12日游>全含0自费，4至5星，巴黎3晚市区酒店，少女峰，金色山口，TGV，南法深度，双宫双游船，美食，巴黎全天自由活动,￥22599,97%,39,9人,",叹息桥，金色山口快车，卡佩尔桥和水塔，巴黎塞纳河游船，罗马斗兽场，凡尔赛宫，圣马可广场，君士坦丁凯旋门，比萨斜塔，圣母百花大教堂",优耐德旅游,9月5日，9月11日，9月19日，9月28日，10月17日，10月24日，10月31日,",广州出发| 北京成团| 一价全含 无自费 四晚五星 巴黎住市中心 四段高铁 雪山宫殿游船 ",无自费
http://www.tuniu.com/tour/210166273,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<北欧四国-德国-俄罗斯13-16日游>海航直飞，全国联运，多种特色尽览北欧四国，升级夏洛腾堡宫花园，行程C和D含捷克游览，拒签全退,￥11962,97%,70,6人,",赫尔辛基议会广场，岩石教堂，奥斯陆，红场，斯德哥尔摩市政厅，冬宫",九州风行,中秋，国庆，9月13日，9月16日，9月18日，9月20日，9月23日，9月27日，9月30日，10月2日,",广州出发| 北京成团| 五星航空 双点直飞 五星邮轮 独家尊享 行程多样 异地指纹",湖光山色
http://www.tuniu.com/tour/210141071,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<英国-爱尔兰11-13日游>重庆直飞  英伦乡村 牛津剑桥双学府 大英博物馆 比斯特购物 多佛白崖 温德米尔湖 wifi,￥21398,97%,43,12人,",大英博物馆，大本钟，基督大教堂，温德米尔湖，白金汉宫，剑桥大学城，巨人堤，伦敦塔桥，牛津大学，牛津",礼游国际,9月29日,",广州出发| 重庆成团| 重庆出发 剑桥 牛津 温德米尔湖区",免费WiFi
http://www.tuniu.com/package/210523130,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<捷克-奥地利-匈牙利9晚11日自由行>布拉格进布达佩斯出，自选机票、酒店，探访CK小镇，推荐参考行程，可定内陆段机票、接送机,￥7613,100%,90,3人,",圣维特大教堂，布拉格，伏尔塔瓦河，阿尔贝蒂娜博物馆，泰瑞辛集中营，总统府，英雄广场，维也纳市立公园，维也纳市政厅，茜茜公主博物馆",途牛国旅,中秋，国庆，8月24日，8月25日，8月26日，8月27日，8月28日，8月29日，8月30日，8月31日，9月1日，9月2日，9月3日，9月4日，9月5日，9月6日，9月7日，9月8日，9月9日，9月10日，9月11日，9月12日，9月13日，9月14日，9月15日，9月16日，9月17日，9月20日，9月21日，9月22日，9月23日，9月25日，9月26日，9月27日，9月28日，9月29日，9月30日，10月1日，10月2日，10月3日，10月4日，10月5日，10月6日，10月7日，10月8日，10月9日，10月10日，10月11日，10月12日，10月13日，10月14日，10月15日，10月19日，10月20日,",广州出发| 布拉格广场 克鲁姆洛夫 维也纳 音乐之乡 布达佩斯 渔人堡",湖光山色
http://www.tuniu.com/tour/210467736,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<欧洲捷克一地10日游>纯玩无购物，10人成团，满分满意度，变装晚宴、跳舞房子餐，CK小镇，游船、城堡等,￥22599,100%,35,5人,",查理大桥，圣维特大教堂，布拉格旧城广场，伏尔塔瓦河，提恩教堂，捷克克鲁姆洛夫城堡，火药塔，布拉格天文钟，旧皇宫，布拉格城堡",加利利旅游,国庆，10月1日,",广州出发| 上海成团| 免费WIFI 跳舞房子美宴 中世纪变装餐 经典游船体验 布拉格城堡 国...",可异地按指纹纯玩无购物
http://www.tuniu.com/package/210522315,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<西班牙巴塞罗那-萨拉戈萨-马德里7晚9天自由行>机票+酒店，巴塞罗那进马德里出，自选航班、酒店，可定内陆段机票、欧铁、接送机,￥7183,94%,96,14人,",National Library，蒙特塞拉特修道院，蒙特惠奇山，圣多美教堂，国家当代艺术博物馆，欧洲现代艺术博物馆，格兰比亚大街，巴塞罗那毕加索博物馆，兰布拉大街，加泰罗尼亚广场",途牛国旅,中秋，国庆，8月24日，8月25日，8月26日，8月27日，8月28日，8月29日，8月30日，8月31日，9月1日，9月2日，9月3日，9月4日，9月5日，9月6日，9月7日，9月8日，9月9日，9月10日，9月11日，9月12日，9月13日，9月14日，9月15日，9月16日，9月17日，9月18日，9月19日，9月20日，9月21日，9月22日，9月23日，9月24日，9月25日，9月26日，9月27日，9月28日，9月29日，9月30日，10月1日，10月2日，10月3日，10月4日，10月5日，10月6日,",广州等地出发",近市区四星/高档机场接/送
http://www.tuniu.com/tour/210149867,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<欧洲德国+法国+瑞士+意大利10-12日游>B线海航直飞全国免费联运 卢浮宫 滴滴湖 含比利时、卢森堡游览 CDEF线3至4星 五菜一汤 含卢浮宫,￥6378,92%,512,99人,",琉森（卢塞恩），金融街，协和广场，蒙帕纳斯大厦，米拉波林荫大道，卢克索方尖碑，苏黎世湖，冰川快车，大喷泉和大花钟，加尔桥",寰宇旅游,国庆，9月16日，10月2日，10月9日，11月4日，11月11日，11月25日，12月2日，12月9日，12月11日，12月16日，12月18日，12月23日,",广州出发| 上海成团| 意大利四星 卢浮宫 城堡 埃菲尔铁塔",null
http://www.tuniu.com/tour/210493261,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<意大利12日游>超级旅行团同款，拒签全退，全程4星，升级2晚五星，阿马尔菲海岸线，维苏威火山，温泉，奥莱，五渔村，苏莲托，庞贝，特色美食,￥25299,96%,65,17人,",五渔村，佛罗伦萨市政厅，维罗纳，威尼斯广场",优耐德旅游,9月29日,",广州出发| 北京成团| 欧洲一国深度 悬崖海岸线 温泉 五渔村 牛排餐 比萨餐 ",null
http://www.tuniu.com/tour/210347341,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<东欧多国10日游>德捷斯匈奥五国游 广州往返 海航配全国联运 无自费无购物 柏林进布拉格出 湖光山色 大城小镇 柏林墙  CK小镇 渔人堡,￥9398,90%,73,11人,",国家歌剧院，布拉迪斯拉发城堡，布拉格，柏林，马加什教堂，布拉提斯拉法，东边画廊，总统府，英雄广场，伊莉莎白大桥",五洲行（深圳）,10月18日,",广州出发| 广州成团| 布拉格 哈尔施塔特 布达佩斯 ",自然遗产有自由活动
http://www.tuniu.com/package/210228398,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<法国-意大利10晚12日自由行>巴黎进罗马出，自选航班、酒店，推荐参考行程，法意中心线路，搜罗美食贴士，可定内陆机票、欧铁、接送机,￥5900,98%,70,4人,",领主广场，皇宫花园，卡地亚当代艺术基金会，圣玛利亚广场，盖布朗利博物馆，拉维莱特公园，卢森堡公园，圣马可教堂，托尔切洛岛，National Institute of Nuclear Research",途牛国旅,中秋，国庆，8月24日，8月25日，8月26日，8月27日，8月28日，8月29日，8月30日，8月31日，9月1日，9月2日，9月3日，9月4日，9月5日，9月6日，9月7日，9月8日，9月9日，9月10日，9月11日，9月12日，9月13日，9月14日，9月15日，9月16日，9月17日，9月18日，9月19日，9月20日，9月21日，9月22日，9月23日，9月24日，9月25日，9月26日，9月27日，9月28日，9月29日，9月30日，10月1日，10月2日，10月3日，10月4日，10月5日，10月6日，10月7日，10月8日，10月9日，10月10日，10月11日，10月12日，10月13日，10月14日，10月15日，10月16日，10月17日，10月18日，10月19日，10月20日，10月21日，10月22日，10月23日，10月24日，10月25日，10月26日，10月27日，10月28日，10月29日，10月30日，10月31日，11月1日，11月2日，11月3日，11月4日，11月5日，11月6日，11月7日，11月8日，11月9日，11月10日，11月11日，11月12日,",广州出发| 浪漫巴黎 时尚米兰 水城威尼斯 佛罗伦萨 圣母百花大教堂 罗马假期",近市区古迹遗址
http://www.tuniu.com/tour/210501901,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯8-9日游>东航直飞全国联运，莫斯科，圣彼得堡，全程四星，冬宫，夏宫花园，红场，跟团免签,￥5339,94%,96,16人,",彼得保罗要塞，夏宫，红场，青铜骑士，滴血大教堂，涅瓦大街，克里姆林宫，冬宫，莫斯科地铁，亚历山大花园",享游俄罗斯,中秋，9月23日，9月24日，10月11日，10月18日，10月19日，10月26日，10月29日，11月9日，11月16日，12月7日，12月10日，12月21日，12月28日,",广州出发| 上海成团| 东航上海直飞 中俄餐搭配 红场 冬宫博物馆 夏宫花园 莫斯科地铁 ",有自由活动
http://www.tuniu.com/package/210527295,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<瑞士日内瓦-蒙特勒-伯尔尼-因特拉肯-琉森-苏黎世9晚11日自由行>日内瓦进苏黎世出，深度游览，自选航班，自选全程酒店，可定内陆机票、欧铁、接送机,￥8184,100%,111,6人,",琉森（卢塞恩），金融街，圣彼得教堂，费尔塞内格，日内瓦喷泉，熊墓公园，玫瑰园，苏黎世湖，大喷泉和大花钟，瑞士交通博物馆",途牛国旅,中秋，国庆，8月27日，8月28日，8月29日，8月30日，8月31日，9月4日，9月5日，9月6日，9月7日，9月12日，9月13日，9月14日，9月15日，9月16日，9月17日，9月18日，9月19日，9月20日，9月21日，9月22日，9月23日，9月24日，9月25日，9月26日，9月27日，9月29日，9月30日，10月1日，10月2日，10月3日，11月2日,",广州出发| 伯尔尼 狮子纪念碑 雪山 少女峰 苏黎世",近市区湖光山色
http://www.tuniu.com/tour/210135873,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[元旦]<西班牙-葡萄牙11-12日游>全程四星，马德里皇宫，高迪建筑，龙达，米哈斯，多地连住舒适升级，优先东航/国航/法荷航/IB航司,￥9299,96%,1036,212人,",大广场，贝伦塔，马德里王宫，罗卡角，隆达斗牛场，皇家剧院，斗牛场，巴塞罗那大教堂，辛特拉，奎尔公园",众信旅游,12月6日，12月13日，12月20日,",广州出发| 上海成团| 欧洲南欧西葡 自由活动 购物村 圣家族教堂 马德里皇宫 龙达 米哈斯 ...",有自由活动
http://www.tuniu.com/tour/210137807,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<英国12日游>国航直飞，奢享英国，百分百满意度，伦敦洲际五星连住，双古堡双学府，亲手做小熊，巨石阵，欧洲特色餐，伦敦全天自由活动,￥24999,100%,39,6人,",大英博物馆，温莎城堡，白金汉宫，巨石阵，伦敦塔桥，艾伯特广场，爱丁堡城堡，约克大教堂，大本钟，温德米尔湖",优耐德旅游,9月25日,",广州出发| 北京成团| 往返直飞 五星洲际酒店 全天自由活动 亲手做小熊 双学府双古堡 人气美...",美食可异地按指纹有自由活动
http://www.tuniu.com/tour/210137112,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<奥地利+捷克+匈牙利11-12日游>欧洲自营，30人团，4星，一晚5星或湖边酒店或温泉酒店，美泉宫，布拉格，哈尔施塔特，多瑙河游船，全含，11月后含温泉,￥12999,97%,4207,896人,",查理大桥，多瑙河，马加什教堂，渔人堡，英雄广场，圣沃夫冈湖小镇，磨坊温泉回廊，维也纳国家歌剧院，捷克人骨教堂，布拉格旧城广场",牛人专线,9月14日，9月17日，9月21日，9月27日，10月19日，10月27日，10月30日，11月11日，11月24日，12月9日，1月20日，1月22日，1月27日，2月9日，2月10日，2月14日，3月9日，3月16日，3月26日,",上海出发| 上海成团| 布拉格古堡 风味特色餐 奥地利湖区 自由活动",湖光山色无自费免费WiFi
http://www.tuniu.com/tour/210134909,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[春节]<奥地利-捷克-匈牙利12日游>自营全含，20到30人，4000人游，四五星，美泉宫，哈尔斯塔特，啤酒厂，双堡，双游船，轻奢下午茶，2人WIFI，拒签退,￥13999,97%,3561,753人,",布拉格，马加什教堂，萨尔茨堡博物馆，泰瑞辛集中营，德弗札克公园，总统府，圣伊什特万圣殿，英雄广场，匈牙利国会大厦，捷克国家歌剧院",牛人专线,国庆，10月1日，10月16日，11月17日，12月10日，1月28日，2月7日，3月30日,",北京出发| 北京成团| 双堡，双游船，奥特莱斯，下午茶，2顿特色餐，2人一台WIFI",湖光山色有自由活动免费WiFi
http://www.tuniu.com/tour/210408643,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<冰岛-芬兰-丹麦-挪威-瑞典11日游>追寻北极光，冰岛深度，蓝湖，黄金圈，黑沙滩，塔林，北欧航空加飞，北欧全景,￥17829,93%,13,6人,",黄金圈，赫尔辛基大教堂，雷克雅未克大教堂，辛格维利尔国家公园，冰岛黑沙滩，维格兰雕塑公园，安徒生铜像，奥斯陆市政厅，哥本哈根市政厅，大间歇泉",中旅总社,国庆，10月4日，11月30日，1月14日，2月1日，2月14日,",北京出发| 北京成团| 蓝湖温泉 纯玩不进店 爱沙尼亚 北极光 黑沙滩 直飞北欧",湖光山色
